frame,cam_frame,time_s,fps,latency_ms,v_cmd,omega_cmd,x,y,yaw_deg,v_meas,dist_goal,n_ob,bump
148,211,28.683,7.91,95.79,0.3,0.0298,0,0,0,0,16,70,on_bump
149,213,28.884,7.62,71.79,0.3,-0.0313,0,0,0,0,16,70,on_bump
150,213,28.97,8.02,86.06,0.3,-0.0226,0,0,0,0,16,70,on_bump
151,215,29.224,7.61,102.61,0.3,-0.0139,0,0,0,0,16,70,on_bump
152,216,29.326,7.83,101.76,0.3,-0.0052,0,0,0,0,16,70,on_bump
153,218,29.565,7.46,101.84,0.3,0.0035,0,0,0,0,16,70,on_bump
154,219,29.665,7.72,99.7,0.3,0.0121,0,0,0,0,16,70,on_bump
155,220,29.9,7.37,106.89,0.3,0.0208,0,0,0,0,16,70,on_bump
156,221,30,7.64,99.62,0.3,0.0295,0,0,0,0,16,70,on_bump
157,223,30.269,7.24,111.01,0.3,-0.0316,0,0,0,0,16,69,on_bump
158,224,30.383,7.4,113.02,0.3,-0.0229,0,0,0,0,16,70,on_bump
159,226,30.636,7.05,101.17,0.3,-0.0142,0,0,0,0,16,66,on_bump
160,226,30.764,7.13,127.92,0.3,-0.0055,0,0,0,0,16,67,on_bump
161,228,31.026,6.8,99.08,0.3,0.0032,0,0,0,0,16,68,on_bump
162,229,31.141,6.99,114.37,0.3,0.0119,0,0,0,0,16,65,on_bump
163,231,31.406,6.67,94.2,0.3,0.0206,0,0,0,0,16,70,on_bump
164,232,31.546,6.71,139.84,0.3,0.0293,0,0,0,0,16,70,on_bump
165,234,31.851,6.37,138.45,0.3,-0.0319,0,0,0,0,16,70,on_bump
166,235,31.976,6.53,125.1,0.3,-0.0232,0,0,0,0,16,70,on_bump
167,236,32.217,6.29,100.36,0.3,-0.0145,0,0,0,0,16,70,on_bump
168,237,32.328,6.57,110.72,0.3,-0.0058,0,0,0,0,16,70,on_bump
169,239,32.646,6.22,129.12,0.3,0.0029,0,0,0,0,16,70,on_bump
170,240,32.748,6.59,101.52,0.3,0.0116,0,0,0,0,16,70,on_bump
171,242,32.967,6.38,75.9,0.3,0.0203,0,0,0,0,16,70,on_bump
172,242,33.067,6.74,99.72,0.3,0.029,0,0,0,0,16,70,on_bump
173,244,33.328,6.45,113.69,0.3,-0.0321,0,0,0,0,16,70,on_bump
174,245,33.438,6.71,110.5,0.3,-0.0234,0,0,0,0,16,70,on_bump
175,246,33.67,6.47,71.87,0.3,-0.0148,0,0,0,0,16,70,on_bump
176,247,33.783,6.71,113.6,0.3,-0.0061,0,0,0,0,16,70,on_bump
177,248,33.984,6.53,59,0.3,0.0026,0,0,0,0,16,70,on_bump
178,249,34.092,6.81,107.76,0.3,0.0113,0,0,0,0,16,70,on_bump
179,250,34.288,6.63,61.39,0.3,0.02,0,0,0,0,16,70,on_bump
180,251,34.398,6.89,109.02,0.3,0.0287,0,0,0,0,16,70,on_bump
181,253,34.634,6.62,87.53,0.3,-0.0324,0,0,0,0,16,70,on_bump
182,254,34.741,6.89,106.99,0.3,-0.0237,0,0,0,0,16,70,on_bump
183,256,34.964,6.65,73.25,0.3,-0.015,0,0,0,0,16,70,on_bump
184,256,35.07,6.94,104.96,0.3,-0.0063,0,0,0,0,16,64,on_bump
185,258,35.297,6.68,89.73,0.3,0.0024,0,0,0,0,16,62,on_bump
186,259,35.415,6.86,118.04,0.3,0.011,0,0,0,0,16,62,on_bump
187,261,35.64,6.62,84.18,0.3,0.0197,0,0,0,0,16,66,on_bump
188,261,35.725,7.13,85.24,0.3,0.0284,0,0,0,0,16,63,on_bump
189,263,35.937,6.89,68.32,0.3,-0.0327,0,0,0,0,16,60,on_bump
190,263,36.043,7.14,105.73,0.3,-0.024,0,0,0,0,16,60,on_bump
