frame,cam_frame,time_s,fps,latency_ms,v_cmd,omega_cmd,x,y,yaw_deg,v_meas,dist_goal,n_ob,bump
205,290,33.917,8.66,86.6,0.3,-0.0332,0,0,0,0,16,65,
206,291,34.01,8.88,92.37,0.3,-0.0246,0,0,0,0,16,70,
207,293,34.219,8.47,77.16,0.3,-0.0159,0,0,0,0,16,67,
208,294,34.304,8.79,84.91,0.3,-0.0072,0,0,0,0,16,65,
209,295,34.492,8.45,83.25,0.3,0.0015,0,0,0,0,16,64,
210,296,34.577,8.78,85.01,0.3,0.0102,0,0,0,0,16,64,
211,298,34.809,8.33,83.09,0.3,0.0189,0,0,0,0,16,66,
212,299,34.893,8.69,83.72,0.3,0.0276,0,0,0,0,16,67,
213,300,35.1,8.3,88.1,0.3,-0.0335,0,0,0,0,16,70,
214,301,35.198,8.49,97.69,0.3,-0.0248,0,0,0,0,16,65,
215,303,35.423,8.09,89.53,0.3,-0.0161,0,0,0,0,16,67,
216,304,35.522,8.29,98.89,0.3,-0.0074,0,0,0,0,16,70,
217,306,35.729,7.94,83.9,0.3,0.0012,0,0,0,0,16,65,
218,306,35.814,8.33,84.92,0.3,0.0099,0,0,0,0,16,66,
219,308,36.031,7.95,88.31,0.3,0.0186,0,0,0,0,16,65,
220,309,36.134,8.13,102.77,0.3,0.0273,0,0,0,0,16,66,
221,311,36.401,7.69,83.73,0.3,-0.0338,0,0,0,0,16,61,
222,312,36.525,7.73,123.45,0.3,-0.0251,0,0,0,0,16,63,
223,313,36.731,7.44,76.84,0.3,-0.0164,0,0,0,0,16,64,
224,314,36.83,7.71,98.75,0.3,-0.0077,0,0,0,0,16,67,
225,316,37.093,7.32,108.68,0.3,0.001,0,0,0,0,16,62,
226,317,37.255,7.2,161.68,0.3,0.0097,0,0,0,0,16,62,
227,318,37.483,6.92,77.93,0.3,0.0184,0,0,0,0,16,62,
228,319,37.603,7.06,118.99,0.3,0.0271,0,0,0,0,16,69,
229,321,37.854,6.76,91.7,0.3,-0.0341,0,0,0,0,16,64,
230,322,37.978,6.89,122.98,0.3,-0.0254,0,0,0,0,16,64,
231,324,38.268,6.55,129.34,0.3,-0.0167,0,0,0,0,16,68,
232,325,38.402,6.64,133.54,0.3,-0.008,0,0,0,0,16,67,
233,327,38.713,6.3,115.47,0.3,0.0007,0,0,0,0,16,63,
234,328,38.849,6.4,135.81,0.3,0.0094,0,0,0,0,16,64,
235,329,39.088,6.18,89.27,0.3,0.0181,0,0,0,0,16,63,
236,330,39.209,6.39,121.31,0.3,0.0268,0,0,0,0,16,63,
237,332,39.42,6.22,58.05,0.3,-0.0343,0,0,0,0,16,65,
238,332,39.527,6.54,105.71,0.3,-0.0257,0,0,0,0,16,62,
239,334,39.745,6.34,57.48,0.3,-0.017,0,0,0,0,16,65,
240,334,39.847,6.68,102.44,0.3,-0.0083,0,0,0,0,16,66,
241,336,40.09,6.43,91.65,0.3,0.0004,0,0,0,0,16,63,
242,337,40.199,6.69,109.8,0.3,0.0091,0,0,0,0,16,62,
243,339,40.447,6.43,86.42,0.3,0.0178,0,0,0,0,16,65,
244,340,40.585,6.51,137.91,0.3,0.0265,0,0,0,0,16,65,
245,341,40.816,6.29,82.36,0.3,-0.0346,0,0,0,0,16,64,
246,342,40.946,6.43,130.21,0.3,-0.0259,0,0,0,0,16,64,
247,344,41.236,6.13,102.16,0.3,-0.0172,0,0,0,0,16,64,
248,345,41.362,6.31,125.75,0.3,-0.0085,0,0,0,0,16,62,
249,347,41.636,6.05,110.14,0.3,0.0001,0,0,0,0,16,65,
250,348,41.74,6.4,103.75,0.3,0.0088,0,0,0,0,16,64,
251,349,41.955,6.23,69.84,0.3,0.0175,0,0,0,0,16,62,
252,349,42.053,6.63,97.39,0.3,0.0262,0,0,0,0,16,63,
253,351,42.302,6.37,86.48,0.3,-0.0349,0,0,0,0,16,63,
254,352,42.434,6.49,131.68,0.3,-0.0262,0,0,0,0,16,68,
255,354,42.695,6.22,91.18,0.3,-0.0175,0.031,0,0,0.205,15.969,61,
